Certification Name ,FILTER TYPE,LOGO LINK ,Website,Description,certifies_company,certfies_product,certifies_process,CERTIFIER,INDUSTRY ,AUDITED,AUDITED_BY,MEMBERSHIP_NETWORK,RATING_SYSTEM,CERTIFICATION,NOTES
OEKO-TEX MADE IN GREEN ,Sustainability and Environmental Impact,https://res.cloudinary.com/dwmpianpg/image/upload/v1707285549/OEKOTEXMADEINGREEN.jpg, https://www.oeko-tex.com/,"1.goes beyond toxic substances to ensure safe, responsible, and environmentally-friendly production processes)
2.OEKO-TEX MADE IN GREEN products are tested for harmful substances and made in safer workplaces with reduced environmental impacts.,",FALSE,TRUE,TRUE, OEKO-TEX,Textiles,,,NO,YES,NO,
OEKO-TEX STeP  ,Sustainability and Environmental Impact,, https://www.oeko-tex.com/,which is focused on the supply chain,FALSE,FALSE,TRUE,OEKO-TEX,Textiles,,,,,,
Plastic Bank Partner,Sustainability and Environmental Impact,https://assets.plasticbank.com/wp-content/uploads/2024/05/13162401/plastic-bank-2024-logo.svg,https://plasticbank.com/,"A Plastic Bank Partner is a company that has partnered with Plastic Bank, a social enterprise that aims to reduce plastic waste in the ocean by providing incentives for people to collect and recycle plastic waste.",FALSE,FALSE,TRUE,Plastic Bank,,,,,,,
Regenerative Organic Certified (ROC),Sustainability and Environmental Impact,https://res.cloudinary.com/dwmpianpg/image/upload/v1707285570/RegenerativeOrganicCertifiedlogo.jpg, https://regenorganic.org/,"1.Regenerative Organic Certified (ROC): certifies that farming practices promote healthy soil, biodiversity, and social justice
2. Regenerative Organic Certified products meet standards for soil health and land management, animal welfare, and social fairness.",FALSE,TRUE,FALSE,Regenerative Organic Alliance,"Agriculture, food and beverage",,,NO,NO,YES,"Still a pretty new certification that is pilot testing, Regenerative Organic Certification goes beyond organic to be a holistic agriculture certification encompassing pasture-based animal welfare, fairness for farmers and workers, and robust requirements for soil health and land management."
rePurpose Global Partner,Sustainability and Environmental Impact,, https://repurpose.global/,"A rePurpose Global Partner is a company that has partnered with rePurpose Global, a social enterprise that helps businesses measure, reduce, and offset their plastic footprint.",FALSE,FALSE,TRUE,rePurpose Global,,,,,,,
Sustainably Harvested,Sustainability and Environmental Impact,,,This is a designation that verifies that a company's products have been harvested in a sustainable and environmentally friendly way,FALSE,TRUE,TRUE,No specific certifying body,"Agriculture, forestry, fisheries",,,,,,
Carbon Neutral by Carbon Trust,Sustainability and Environmental Impact,https://res.cloudinary.com/dwmpianpg/image/upload/v1707284639/CarbonNeutralByCarbonTrust.jpg,https://www.carbontrust.com/,Products reduce their carbon footprint year after year and any outstanding emissions are offset.,FALSE,TRUE,,,,,,,,,
CarbonFree Certified,Sustainability and Environmental Impact,https://res.cloudinary.com/dwmpianpg/image/upload/v1707285546/CarbonfreeCertified.jpg,https://carbonfund.org/,Determines the carbon footprint of the product and associated carbon emissions are offset with reduction projects.,FALSE,TRUE,,,,,,NO,NO,YES,
CarbonNeutral product by Climate Impact Partners,Sustainability and Environmental Impact,https://res.cloudinary.com/dwmpianpg/image/upload/v1707285547/CarbonNeutralproductbyClimateImpactPartners.jpg,https://www.carbonneutral.com/,"Measures all the emissions created in the product’s manufacture, makes internal reductions and offsets the remainder.",FALSE,TRUE,,,,,,,,,
Climate neutral by ClimatePartner,Sustainability and Environmental Impact,https://res.cloudinary.com/dwmpianpg/image/upload/v1707285544/ClimateNeutralbyClimatePartner.jpg,https://www.climatepartner.com/en,"Verifies the product’s carbon footprint was calculated, is continuously reduced and remaining emissions were offset.",FALSE,TRUE,, ClimatePartner,,,,,,,
Climate Neutral Certified,Sustainability and Environmental Impact,,"https://www.changeclimate.org/#:~:text=Climate%20Neutral%20Certified%20is%20the,WHO%27S%20IN%20THIS%20MOVEMENT",,TRUE,,,change Climate,,,,NO,NO,YES,
Compact by Design (Amazon developed),Sustainability and Environmental Impact,https://res.cloudinary.com/dwmpianpg/image/upload/v1707285545/CompactbyDesign%28Amazondeveloped%29.jpg,https://www.amazon.com/b?node=21221609011,"Products remove excess air and water, which reduces the carbon footprint of shipping and packaging.",FALSE,TRUE,,,,,,,,,
ENERGY STAR Most Efficient,Sustainability and Environmental Impact,https://res.cloudinary.com/dwmpianpg/image/upload/v1707285557/ENERGYSTARMostEfficient.jpg,https://www.energystar.gov/products/most_efficient,Recognizes the best of ENERGY STAR certified products with highest efficiency and maximum carbon reductions.,FALSE,TRUE,,,,,,,,,
EPEAT,Sustainability and Environmental Impact,https://res.cloudinary.com/dwmpianpg/image/upload/v1707285557/EPEAT.jpg,https://globalelectronicscouncil.org/ecolabels/,Products are assessed against criteria including energy use and have a reduced sustainability impact across their lifecycle. Includes Silver and Gold ratings.,FALSE,TRUE,,,,,,,,,
Green America Gold Certified,Sustainability and Environmental Impact,,,,,,,,Beauty,,,NO,NO,YES,
Green Seal Certified,Sustainability and Environmental Impact,https://res.cloudinary.com/dwmpianpg/image/upload/v1707285569/GreenSealLogo.jpg,https://greenseal.org/,Green Seal certified products have reduced climate and environmental impacts at one or more stages of their lifecycle.,FALSE,TRUE,,,Beauty,,,NO,NO,YES,
GreenCircle Certified: Certified Energy Savings,Sustainability and Environmental Impact,https://res.cloudinary.com/dwmpianpg/image/upload/v1707285558/GreenCircleCertified:CertifiedEnergySavings.jpg,https://www.greencirclecertified.com/certified-energy-savings-amazon-cpf,Verifies product energy savings of over 10% in the use-phase compared to similar products.,FALSE,TRUE,,,,,,,,,
GreenCircle Certified: Certified Environmental Facts Label,Sustainability and Environmental Impact,https://res.cloudinary.com/dwmpianpg/image/upload/v1707285546/GreenCircleCertified:CertifiedEnvironmentalFactsLabel.jpg,https://www.greencirclecertified.com/certified-environmental-facts-amazon-cpf,Verifies product carbon footprint reduction in the raw material or manufacturing stage.,FALSE,TRUE,,,,,,,,,
GreenCircle LCA Optimized,Sustainability and Environmental Impact,https://res.cloudinary.com/dwmpianpg/image/upload/v1707285568/GreenCircleLCAOptimized.jpg,https://www.greencirclecertified.com/lca-optimized-amazon-cpf, GreenCircle Certified: Life Cycle Assessment Optimized verifies reductions in product life cycle impacts through product or manufacturing improvements.,FALSE,TRUE,,,,,,,,,
GreenCircle Recycled Content,Sustainability and Environmental Impact,https://res.cloudinary.com/dwmpianpg/image/upload/v1707285561/GreenCircleRecycledContent.jpg,https://www.greencirclecertified.com/recycled-content-amazon-cpf,GreenCircle Certified: Recycled Content verifies a product is made of at least 50% recycled material.,FALSE,TRUE,,,,,,,,,
Recycled Claim Standard ,Sustainability and Environmental Impact,https://res.cloudinary.com/dwmpianpg/image/upload/v1707285562/RecycledClaimStandard.jpg,https://textileexchange.org/standards/recycled-claim-standard-global-recycled-standard/,Recycled Claim Standard Blended products included in the program use materials made from at least 50% recycled content.,FALSE,TRUE,,,,,,,,,
Recycled Claim Standard 100,Sustainability and Environmental Impact,https://res.cloudinary.com/dwmpianpg/image/upload/v1707285562/RecycledClaimStandard100.jpg,https://textileexchange.org/standards/recycled-claim-standard-global-recycled-standard/,Recycled Claim Standard 100 products use materials made from at least 95% recycled content.,FALSE,TRUE,,,,,,,,,
Recycled Content Certification for Electrical and Electronic Equipment ,Sustainability and Environmental Impact,https://res.cloudinary.com/dwmpianpg/image/upload/v1707285563/RecycledContentCertificationforElectricalandElectronicEquipmentLogo.jpg,https://www.scsglobalservices.com/services/recycled-content-certification-for-electrical-and-electronic-equipment,"Recycled Content Certification for Electrical and Electronic Equipment products have at least 10-50% recycled content, based on product type and environmental impact.",FALSE,TRUE,,,,,,,,,
Soil Association,Sustainability and Environmental Impact,https://res.cloudinary.com/dwmpianpg/image/upload/v1707285555/SoilAssociation.jpg,https://www.soilassociation.org/certification/," Soil Association certifies organic products and is a Certification Body for the COSMOS-standard, which ensures products are genuine organic or natural cosmetics.",TRUE,TRUE,,,,,,,,,
Sustainable Apparel Coalition (SAC),Sustainability and Environmental Impact,,,,,,,,,,,YES,NO,NO,
WaterSense,Sustainability and Environmental Impact,https://res.cloudinary.com/dwmpianpg/image/upload/v1707285572/WaterSenseLogo.jpg,https://www.epa.gov/watersense,"WaterSense, a voluntary label from the US Environmental Protection Agency (EPA), identifies products that meet criteria from the EPA for water-efficiency and performance.",FALSE,TRUE,,,,,,,,,
Global Recycled Standard (GRS),Sustainability and Environmental Impact,https://res.cloudinary.com/dwmpianpg/image/upload/v1707285564/GlobalRecycledStandard.jpg,https://textileexchange.org/standards/recycled-claim-standard-global-recycled-standard/,"Products are made with at least 50% recycled content and meet social, environmental, and chemical requirements.",FALSE,TRUE,,,,,,NO,NO,YES,
Rainforest Alliance Certified,Sustainability and Environmental Impact,https://res.cloudinary.com/dwmpianpg/image/upload/v1707285560/RainforestAlliancelogo.jpg,https://www.rainforest-alliance.org/faqs/what-does-rainforest-alliance-certified-mean,Rainforest Alliance’s seal stands for more-sustainable farming methods that help improve farmer livelihoods & mitigate climate change.,TRUE,TRUE,,,,,,NO,NO,YES,
BIFMA LEVEL,,https://res.cloudinary.com/dwmpianpg/image/upload/v1707285565/BIFMALEVEL.jpg,https://www.bifma.org/page/level,"Certifies furniture products based on environmental impact, health and wellness, and social responsibility criteria.",FALSE,TRUE,,,,,,,,,
Blue Angel,,https://res.cloudinary.com/dwmpianpg/image/upload/v1707285566/BlueAngel.jpg,https://www.blauer-engel.de/en,"Guarantees that a product meets high environmental standards, including protecting consumers' health.",FALSE,TRUE,,,,,,,,,
Cosmetic Executive Women (CEW),,,,,,,,,Beauty,,,YES,NO,NO,
Independent Cosmetic Manufacturers and Distributors (ICMAD),,,," the company and their ingredient suppliers do not conduct, commission, or pay for any tests on animals for ingredients, formulations, or finished products.",,,,,Beauty,,,YES,NO,NO,
ISCC PLUS,,https://res.cloudinary.com/dwmpianpg/image/upload/v1707285548/ISCCPLUS.jpg,https://www.iscc-system.org/certification/iscc-certification-schemes/iscc-plus/," ISCC PLUS certified products are created using raw materials like recycled plastics and bio-based materials, which can reduce fossil fuel consumption.",FALSE,TRUE,,,,,,,,,
ISO 22716 Good Manufacturing Practices (GMP) Certification,,,,,,,,,Beauty,,,NO,NO,YES,
ISO 9001 Quality Management System Certification,,,,,,,,,,,,NO,NO,YES,
Minority Business Enterprise (MBE) Certification,,,,,,,,,Beauty,,,NO,NO,YES,
Natrue ,,https://res.cloudinary.com/dwmpianpg/image/upload/v1707285569/Natrue.jpg,https://www.natrue.org/,Natrue certified cosmetics are made from naturally sourced ingredients.,FALSE,TRUE,,,,,,,,,
Nordic Swan Ecolabel,,https://res.cloudinary.com/dwmpianpg/image/upload/v1707285570/NordicSwanEcolabel.jpg,https://www.nordic-ecolabel.org/,"Nordic Swan Ecolabel certified products meet requirements on chemical usage, resource consumption, greenhouse gas emissions, and biodiversity.",FALSE,TRUE,,,,,,,,,
OEKO-TEX STANDARD 100,,https://res.cloudinary.com/dwmpianpg/image/upload/v1707285550/OEKOTEXSTANDARD100.jpg,https://www.oeko-tex.com/en/our-standards/standard-100-by-oeko-tex,"OEKO-TEX STANDARD 100 requires textiles-based products to be tested against a list of 1,000+ chemicals, to avoid those which may be harmful to human health. Certification focus: #ProductSafety and #ChemicalsUsed.",FALSE,TRUE,,,,,,,,,
Pre-owned Certified ,,https://res.cloudinary.com/dwmpianpg/image/upload/v1707285564/Pre-ownedCertifiedlogo.png,https://www.amazon.com/s/browse/?node=23911980011,"Pre-owned Certified: Electronics (Amazon-developed Certification) products are inspected, cleaned, and (if applicable) repaired to excellent functional standards. Buying Pre-owned extends a product's life, reducing e-waste and raw material extraction.",FALSE,TRUE,,,,,,,,,
Preowned Certified Fashion,,https://res.cloudinary.com/dwmpianpg/image/upload/v1707285565/PreownedCertifiedFashionLogo.png,https://www.amazon.com/b?node=109618761011," Pre-owned Certified: Fashion (Amazon-developed Certification) products have been previously owned. Buying pre-owned instead of new can reduce greenhouse gas emissions, the use of fossil fuels and water, and waste to landfill.",FALSE,TRUE,,,,,,,,,
TCO Certified,,https://res.cloudinary.com/dwmpianpg/image/upload/v1707285551/TCOCertified.jpg,https://tcocertified.com/tco-certified/,"TCO Certified identifies IT products that are independently assessed for lower environmental and social impact, safer chemicals, and circular design.",FALSE,TRUE,,,,,,,,,
The Forest Stewardship Council,,https://res.cloudinary.com/dwmpianpg/image/upload/v1707285567/TheForestStewardshipCouncil.jpg,https://fsc.org/en/page/about-us,"Certified products support responsible forestry, helping keep forests healthy for future generations.",FALSE,TRUE,,,,,,,,,
U.S. EPA Design for the Environment,,https://res.cloudinary.com/dwmpianpg/image/upload/v1707285552/USEPADesignfortheEnvironment.jpg,https://www.epa.gov/pesticide-labels/learn-about-design-environment-dfe-certification,Certifies disinfectants that meet the Environmental Protection Agency's strict standards for human and environmental health.,FALSE,TRUE,,,,,,,,,
Women's Business Enterprise National Council (WBENC) Certification,,,,,,,,,Beauty,,,NO,NO,YES,
